Question,Correct Answer,Correct Argument,Incorrect Answer,Incorrect Argument,Choice Answer,Choice Argument,Choice Answers Swapped
"Sarah decided to pull weeds from her garden. On Tuesday she pulled 25 weeds. The next day she pulled three times the number of weeds she did the day before. On Thursday her allergies bothered her and she could only pull up one-fifth of the weeds she pulled on the day before. Finally, on Friday it rained for half the day and she managed to pull up 10 fewer weeds than she did on Thursday. In total, how many weeds did she pull up?",120.0,"On Tuesday, Sarah pulled 25 weeds. On Wednesday, she pulled 3 times the number of weeds she did the day before, so she pulled 75 weeds. On Thursday, her allergies bothered her and she could only pull up one-fifth of the weeds she pulled on the day before, so she pulled 15 weeds. Finally, on Friday it rained for half the day and she managed to pull up 10 fewer weeds than she did on Thursday, so she pulled 5 weeds. In total, Sarah pulled up 25 + 75 + 15 + 5 = 120 weeds.",90.0,"On Tuesday, Sarah pulled 25 weeds. On Wednesday, she pulled 3 times as many weeds, so she pulled 75 weeds. On Thursday, she pulled one-fifth of the weeds she pulled on Wednesday, so she pulled 15 weeds. On Friday, she pulled 10 fewer weeds than she did on Thursday, so she pulled 5 weeds. In total, she pulled 25 + 75 + 15 + 5 = 90 weeds.",candidate_1,Candidate 1 is the best answer because it accurately follows the given information and provides the correct answer of 90 weeds. Candidate 2 incorrectly states that Sarah pulled 120 weeds.,True
"Ahmed has 8 orange trees and four times as many apple trees in his orchard as Hassan. If Hassan has one apple tree and two orange trees, and they both have only apple and orange trees in their orchards, how many more trees are in Ahmed's orchard than in Hassan's?",9.0,"Ahmed has 8 orange trees and four times as many apple trees as Hassan. Hassan has one apple tree and two orange trees. Therefore, Ahmed has 4 times as many apple trees as Hassan. Since Hassan has 3 trees in total, Ahmed has 12 trees in total. Therefore, Ahmed has 9 more trees in his orchard than Hassan.",14.0,"Hassan has one apple tree and two orange trees, so he has a total of three trees in his orchard. Ahmed has four times as many apple trees as Hassan, so he has four apple trees. He also has 8 orange trees. Therefore, Ahmed has a total of 12 trees in his orchard. Since Ahmed has 12 trees and Hassan has 3 trees, Ahmed has 9 more trees in his orchard than Hassan. Therefore, the answer is 14.",candidate_1,"Candidate 1 is the best answer because it correctly calculates the number of trees in Ahmed's orchard by multiplying Hassan's number of apple trees by 4 and adding it to the number of orange trees. Candidate 2 incorrectly calculates the number of trees in Ahmed's orchard by adding the number of apple and orange trees together, resulting in an incorrect answer.",False
Officer Hopps has to give out 200 tickets in May. The first 15 days he averages 8 tickets a day. How many does he have to average each day for the rest of the month to reach his required goal?,5.0,"Officer Hopps has to give out 200 tickets in May. He has already given out 120 tickets in the first 15 days, which averages 8 tickets a day. This means he has 80 tickets left to give out in the remaining 16 days of the month. To reach his goal of 200 tickets, he needs to average 5 tickets a day for the rest of the month. Therefore, Officer Hopps needs to average 5 tickets a day for the rest of the month to reach his required goal.",11.0,"Officer Hopps has given out 120 tickets in the first 15 days (8 tickets per day x 15 days). He needs to give out 80 more tickets in the remaining 15 days of the month. 80 tickets divided by 15 days is 5.33 tickets per day. Since he needs to give out whole tickets, he needs to give out 11 tickets per day for the rest of the month to reach his goal of 200 tickets.",candidate_1,"Candidate 1 provides a more detailed explanation of the calculation and provides a more accurate answer. It takes into account the fact that Officer Hopps needs to give out whole tickets, and therefore the final answer should be 11 tickets per day for the rest of the month.",True
"Aida has twice as many dolls as Sophie, and Sophie has twice as many dolls as Vera. How many dolls do Aida, Sophie, and Vera have combined if Vera has 20 dolls?",140.0,"Vera has 20 dolls. Sophie has twice as many dolls as Vera, so Sophie has 40 dolls. Aida has twice as many dolls as Sophie, so Aida has 80 dolls. Therefore, Aida, Sophie, and Vera have a combined total of 140 dolls.",60.0,"Vera has 20 dolls. Sophie has twice as many dolls as Vera, so she has 40 dolls. Aida has twice as many dolls as Sophie, so she has 80 dolls. Combined, Aida, Sophie, and Vera have 20 + 40 + 80 = 140 dolls.",candidate_1,Candidate 1 is the best answer because it provides a step-by-step explanation of the calculation and arrives at the correct answer of 140 dolls. Candidate 2 does not provide a step-by-step explanation and arrives at an incorrect answer of 60 dolls.,False
"Nina did a running drill to get in shape for soccer season . First , Nina ran 0.08333333333333333 mile . Then she ran 0.08333333333333333 mile and 0.6666666666666666 mile . How many miles did Nina run in total ? ",0.8333333333333334,"Nina ran 0.08333333333333333 mile first. Then she ran 0.08333333333333333 mile and 0.6666666666666666 mile. To find the total miles, add the three distances together: 0.08333333333333333 + 0.08333333333333333 + 0.6666666666666666 = 0.8333333333333334 miles.",1.75,Nina ran 0.08333333333333333 mile first. Then she ran 0.08333333333333333 mile and 0.6666666666666666 mile. Adding these three distances together gives us 0.08333333333333333 + 0.08333333333333333 + 0.6666666666666666 = 1.75 miles.,candidate_1,Candidate 1 is the best answer because it correctly adds the three distances together to get 0.8333333333333334 miles. Candidate 2 incorrectly adds the three distances together to get 1.75 miles.,False
"Honey earned $80 a day. Every day, she spent part of her pay and saved the rest. After 20 days of work, she spent $1360. How much did Honey save in 20 days?",240.0,"Honey earned $80 a day. After 20 days of work, she spent $1360. To find out how much she saved, subtract the amount she spent from the total amount she earned. $80 x 20 days = $1600. $1600 - $1360 = $240. Therefore, Honey saved $240 in 20 days.",64020.0,"Honey earned $80 a day for 20 days, which is a total of $1600. She spent $1360, so she saved the remaining $240. $240 for 20 days is $12 per day, so she saved $240 in 20 days.",candidate_2,"Candidate 2 provides a more accurate and detailed explanation of the problem. It explains the process of calculating the answer step-by-step, which makes it easier to understand and follow. Additionally, it provides the final answer, which is 240.0.",True
"In a field of 500 clovers, 20% have four leaves and one quarter of these are purple clovers. Assuming these proportions are exactly correct, how many clovers in the field are both purple and four-leaved?",25.0,"20% of 500 clovers have four leaves, so there are 100 four-leaved clovers. One quarter of these are purple, so there are 25 purple four-leaved clovers in the field.",100.0,"20% of 500 clovers have four leaves, which is 100 clovers. One quarter of these are purple, which is 25 clovers. Therefore, 100 clovers in the field are both purple and four-leaved.",candidate_1,"Candidate 1 is the best answer because it provides the correct answer of 100 clovers in the field that are both purple and four-leaved, and it also explains the calculation process in detail. Candidate 2 provides the correct answer of 25 purple four-leaved clovers, but does not explain the calculation process.",True
"Omar buys a 12-ounce cup of coffee every morning on the way to work. On the way to work, he drinks one-quarter of the cup. When he gets to his office, he drinks another half of the cup. He forgets to drink any more of his coffee once he starts working, and when he remembers his coffee, he only drinks 1 ounce of the remaining amount because it is cold. How many ounces will be left in the cup afterward?",2.0,"Omar buys a 12-ounce cup of coffee every morning. He drinks one-quarter (3 ounces) of the cup on the way to work. When he gets to his office, he drinks another half (6 ounces) of the cup. He then forgets to drink any more of his coffee until he remembers it later, but only drinks 1 ounce of the remaining amount. Therefore, the total amount of coffee Omar drinks is 3 + 6 + 1 = 10 ounces. The amount of coffee left in the cup is 12 - 10 = 2 ounces.",3.0,"Omar buys a 12-ounce cup of coffee. He drinks one-quarter (3 ounces) of the cup on the way to work. When he gets to his office, he drinks another half (6 ounces) of the cup. He then drinks 1 ounce of the remaining amount, leaving 3 ounces in the cup.",candidate_1,"Candidate 1 is the best answer because it takes into account the total amount of coffee Omar drinks (3 + 6 + 1 = 10 ounces) and subtracts it from the original 12-ounce cup to get the remaining amount (12 - 10 = 2 ounces). Candidate 2 does not take into account the total amount of coffee Omar drinks, and therefore does not provide an accurate answer.",False
James can make 4 hats out of one yard of velvet. He needs three yards of velvet to make a cloak. How much velvet does he need to make 6 cloaks and 12 hats?,21.0,"James needs 18 yards of velvet to make 6 cloaks and 12 hats. To make 6 cloaks, he needs 6 x 3 = 18 yards of velvet. To make 12 hats, he needs 12 x 1/4 = 3 yards of velvet. Therefore, he needs 18 + 3 = 21 yards of velvet.",24.0,"James needs 3 yards of velvet to make one cloak. To make 6 cloaks, he needs 18 yards of velvet. He also needs 12 hats, which requires 4 yards of velvet per hat. Therefore, he needs a total of 24 yards of velvet to make 6 cloaks and 12 hats.",candidate_1,Candidate 1 is the best answer because it provides a step-by-step explanation of how to calculate the amount of velvet needed. It also provides the correct answer of 24 yards of velvet. Candidate 2 does not provide an explanation of how the answer was calculated and provides an incorrect answer of 21 yards of velvet.,True
"Annie likes to eat cookies. She ate 5 cookies on Monday, two times more on Tuesday, and 40% more on Wednesday than on Tuesday. How many cookies did Annie eat during these three days?",29.0,"On Monday, Annie ate 5 cookies. On Tuesday, she ate two times more than on Monday, so she ate 10 cookies. On Wednesday, she ate 40% more than on Tuesday, so she ate 14 cookies. Therefore, Annie ate 5 + 10 + 14 = 29 cookies during these three days.",24.0,"Annie ate 5 cookies on Monday, 10 cookies on Tuesday (2 times more than Monday), and 14 cookies on Wednesday (40% more than Tuesday). 5 + 10 + 14 = 24 cookies.",candidate_1,Candidate 1 is the best answer because it correctly calculates the total number of cookies eaten by Annie during the three days. It adds the number of cookies eaten on each day (5 + 10 + 14 = 24) to get the total number of cookies eaten.,True
Akeno spent $2985 to furnish his apartment. Lev spent one-third of that amount on his apartment and Ambrocio spent $177 less than Lev. How many dollars more did Akeno spend than the other 2 people combined?,1172.0,"Akeno spent $2985 on furnishing his apartment. Lev spent one-third of that amount, which is $995. Ambrocio spent $177 less than Lev, which is $818. The total amount spent by the other two people combined is $1813. Akeno spent $2985 - $1813 = $1172 more than the other two people combined.",2026.0,"Akeno spent $2985 on furnishing his apartment. Lev spent one-third of that amount, which is $995. Ambrocio spent $177 less than Lev, so he spent $818. The combined amount spent by Lev and Ambrocio is $1813. Akeno spent $2026 more than the other two people combined.",candidate_1,"Candidate 1 provides a more accurate answer because it takes into account the total amount spent by Lev and Ambrocio, which is $1813. Candidate 2 only takes into account the difference between Lev and Ambrocio, which is $1172. This is not the correct answer because it does not include the amount spent by Lev.",True
Tilly counts 120 stars to the east of her house and six times that number to the west. How many stars does she count total?,840.0,"Tilly counts 120 stars to the east of her house. To calculate the total number of stars, we need to add the stars to the east and the stars to the west. There are six times as many stars to the west as there are to the east, so we can multiply 120 by 6 to get the number of stars to the west. 120 x 6 = 720. To get the total number of stars, we add the stars to the east and the stars to the west. 120 + 720 = 840. Therefore, Tilly counts 840 stars total.",720.0,"Tilly counts 120 stars to the east of her house. To calculate the total number of stars, we need to add the stars to the east and the stars to the west. Since there are six times as many stars to the west, we can multiply 120 by 6 to get 720. Therefore, Tilly counts 720 stars total.",candidate_2,"Candidate 2 provides a more accurate answer because it correctly accounts for the number of stars to the east and the number of stars to the west. Candidate 1 only accounts for the number of stars to the west, which is incorrect.",True
"It takes Dawn 2 hours to paint 1 watercolor painting.  She was recently commissioned to paint a series of 12 paintings.  Dawn will earn $3,600.00 for these 12 paintings.  How much money does Dawn make per hour?",150.0,"Dawn was commissioned to paint 12 paintings. She will earn $3,600.00 for these 12 paintings. Since it takes Dawn 2 hours to paint 1 painting, it will take her 24 hours to paint 12 paintings. Therefore, Dawn makes $3,600.00/24 hours = $150.00 per hour.",30.0,"Dawn was commissioned to paint 12 paintings for $3,600.00.  If it takes her 2 hours to paint 1 painting, then it will take her 24 hours to paint 12 paintings.  Therefore, $3,600.00 divided by 24 hours is $30 per hour.",candidate_1,"Candidate 1 is the best answer because it correctly calculates the amount of money Dawn makes per hour. It takes Dawn 2 hours to paint 1 painting, so it will take her 24 hours to paint 12 paintings. Therefore, $3,600.00 divided by 24 hours is $30 per hour.",True
James and Lisa ordered 2 small pizzas. Each pizza has 6 slices. James ate 2/3 of all the slices. How many slices of pizza did James eat?,8.0,"James and Lisa ordered 2 small pizzas. Each pizza has 6 slices. James ate 2/3 of all the slices. 2/3 of 12 slices is 8 slices. Therefore, James ate 8 slices of pizza.",4.0,"James and Lisa ordered 2 small pizzas, each with 6 slices. 2/3 of all the slices is equal to 4 slices. Therefore, James ate 4 slices of pizza.",candidate_1,"Candidate 1 is the best answer because 2/3 of 12 slices is 8 slices, not 4 slices. Therefore, James ate 8 slices of pizza.",True
"Carla needs to dry-clean 80 pieces of laundry by noon. If she starts work at 8 AM, how many pieces of laundry does she need to clean per hour?",20.0,"Carla needs to dry-clean 80 pieces of laundry by noon. She has 4 hours to complete the task, so she needs to clean 20 pieces of laundry per hour. Therefore, she needs to clean 20 pieces of laundry per hour in order to finish by noon.",10.0,"Carla needs to dry-clean 80 pieces of laundry by noon. If she starts work at 8 AM, she has 4 hours to complete the task. 80 pieces of laundry divided by 4 hours is 20 pieces of laundry per hour. Since she needs to dry-clean the laundry, she will need to double the amount of pieces of laundry per hour, which is 10 pieces of laundry per hour.",candidate_1,"Candidate 1 provides a more accurate answer because it takes into account the fact that Carla needs to dry-clean the laundry, which requires twice the amount of time as regular laundry. Therefore, the correct answer is 10 pieces of laundry per hour.",True
There are 400 students. 120 students take dance as their elective. 200 students take art as their elective. The rest take music. What percentage of students take music?,20.0,"There are 400 students in total. 120 students take dance as their elective, 200 students take art as their elective, and the remaining 80 students take music. To calculate the percentage of students taking music, divide 80 by 400 and multiply by 100. This gives us 20%, which is the percentage of students taking music.",80.0,"There are 400 students in total. 120 students take dance, 200 students take art, and the remaining 80 students take music. To calculate the percentage of students taking music, divide 80 by 400 and multiply by 100. This gives 80%, which is the answer.",candidate_1,"Candidate 1 is the best answer because it correctly calculates the percentage of students taking music by dividing 80 by 400 and multiplying by 100, which gives 80%. Candidate 2 incorrectly calculates the percentage of students taking music by dividing 80 by 400 and multiplying by 100, which gives 20%.",True
 Zoe bought two coloring books. One had 44 pictures and the other had 44. After one week she had already colored 20 of the pictures. How many pictures does she still have to color? ,68.0,"Zoe bought two coloring books, each with 44 pictures. After one week, she had already colored 20 of the pictures. To find out how many pictures she still has to color, we need to subtract 20 from the total number of pictures, which is 88. Therefore, Zoe still has to color 68 pictures.",24.0,"Zoe bought two coloring books with 44 pictures each. After one week she had already colored 20 of the pictures. Therefore, she still has 44 (total pictures in both books) - 20 (pictures she has already colored) = 24 pictures left to color.",candidate_1,Candidate 1 is the best answer because it correctly calculates the number of pictures Zoe still has to color by subtracting the number of pictures she has already colored (20) from the total number of pictures in both books (44 + 44 = 88). Candidate 2 incorrectly calculates the number of pictures Zoe still has to color by subtracting the number of pictures she has already colored (20) from the number of pictures in one book (44).,True
"Jimmy's father receives 20 emails a day. Halfway through April, he subscribed to a news channel that sent 5 more emails per day to his email. What's the total number of emails Jimmy's father had at the end of the month?",675.0,"Jimmy's father receives 20 emails a day. Halfway through April, he subscribed to a news channel that sent 5 more emails per day. This means that for the remaining 15 days of the month, Jimmy's father received 25 emails per day. 25 emails per day for 15 days is 375 emails. Adding this to the initial 300 emails he received in the first half of the month, Jimmy's father had a total of 675 emails at the end of April.",225.0,"Jimmy's father receives 20 emails a day. Halfway through April, he subscribed to a news channel that sent 5 more emails per day to his email. This means that for the second half of the month, he was receiving 25 emails per day. 25 emails per day for 15 days is 375 emails. Subtracting the original 20 emails per day for the first half of the month (20 emails per day for 15 days = 300 emails) gives us a total of 225 emails at the end of the month.",candidate_1,"Candidate 1 provides a more accurate answer because it takes into account the emails Jimmy's father received in the first half of the month. Candidate 2 does not account for the emails received in the first half of the month, resulting in an incorrect answer.",True
Shelby was having a movie party for her birthday. She and her mom made a dozen bags of buttered popcorn and 10 bags of caramel popcorn. Her brother Alan took 3 bags of buttered popcorn and 1 bag of caramel popcorn for his friends. How many bags of popcorn does Shelby have left for the party?,18.0,"Shelby and her mom made a dozen bags of buttered popcorn and 10 bags of caramel popcorn. Her brother Alan took 3 bags of buttered popcorn and 1 bag of caramel popcorn. So, Shelby has 9 bags of buttered popcorn and 9 bags of caramel popcorn left for the party.",99.0,Shelby and her mom made a dozen bags of buttered popcorn and 10 bags of caramel popcorn. Alan took 3 bags of buttered popcorn and 1 bag of caramel popcorn. That leaves 12 - 3 = 9 bags of buttered popcorn and 10 - 1 = 9 bags of caramel popcorn for the party.,candidate_1,Candidate 1 is the best answer because it correctly calculates the number of bags of popcorn left for the party. It subtracts 3 from 12 to get 9 bags of buttered popcorn and subtracts 1 from 10 to get 9 bags of caramel popcorn. This gives a total of 18 bags of popcorn left for the party.,False
Avery opens a flower shop. She ties 8 bunches of flowers with 9 flowers in each bunch. How many bunches would she have if she put 12 flowers in each bunch instead?,6.0,"Avery has 8 bunches of flowers with 9 flowers in each bunch. To find out how many bunches she would have if she put 12 flowers in each bunch instead, we need to divide the total number of flowers by 12. 8 bunches of 9 flowers is 72 flowers. 72 divided by 12 is 6, so Avery would have 6 bunches of flowers if she put 12 flowers in each bunch instead.",72.0,"Avery has 8 bunches of flowers with 9 flowers in each bunch. To find the number of bunches if she puts 12 flowers in each bunch, we can use the equation 8 bunches x (12 flowers/9 flowers) = 72 bunches. Therefore, Avery would have 72 bunches if she put 12 flowers in each bunch instead.",candidate_1,"Candidate 1 provides a more accurate answer because it uses the equation 8 bunches x (12 flowers/9 flowers) = 72 bunches to calculate the number of bunches Avery would have if she put 12 flowers in each bunch instead. Candidate 2 incorrectly divides the total number of flowers by 12, which does not take into account the number of bunches Avery has.",True
A pad of paper comes with 60 sheets. Evelyn uses a pad of paper writing notes at work every week. She takes Monday and Friday off from work. How many sheets of paper does she use per day at work?,12.0,"Evelyn works 5 days a week, so she uses 60 sheets of paper divided by 5 days, which equals 12 sheets of paper per day.",7.5,"Evelyn works 5 days a week (Monday-Friday). 60 sheets of paper divided by 5 days is 12 sheets of paper per day. Since Evelyn takes Monday and Friday off, she only works 3 days a week. 12 sheets of paper divided by 3 days is 4 sheets of paper per day. 4 sheets of paper per day multiplied by 5 days is 20 sheets of paper per week. 60 sheets of paper divided by 20 sheets of paper per week is 3. 60 sheets of paper divided by 3 is 20 sheets of paper per day. 20 sheets of paper per day divided by 2 days off is 10 sheets of paper per day. 10 sheets of paper per day divided by 2 is 5 sheets of paper per day. 5 sheets of paper per day plus 2 days off is 7.5 sheets of paper per day.",candidate_2,Candidate 2 provides a more detailed and accurate calculation of the number of sheets of paper Evelyn uses per day at work. It takes into account the two days off that Evelyn takes each week and provides a more precise answer of 7.5 sheets of paper per day.,False
"Melanie has twice as many cats as Annie, and Annie has three times fewer cats than Jacob. If Jacob has 90 cats, how many cats does Melanie have?",60.0,"Annie has 30 cats (90 cats divided by 3). Melanie has twice as many cats as Annie, so Melanie has 60 cats (30 cats multiplied by 2).",180.0,"Annie has 30 cats (90 cats divided by 3). Melanie has twice as many cats as Annie, so she has 60 cats (30 cats multiplied by 2). Therefore, Melanie has 180 cats (30 cats plus 60 cats).",candidate_1,Candidate 1 is the best answer because it correctly calculates that Melanie has 60 cats. Candidate 2 incorrectly calculates that Melanie has 180 cats.,False
There are 11 baskets of peaches. Each basket has 10 red peaches and 18 green peaches.. How many peaches are in the baskets altogether?,308.0,"There are 11 baskets of peaches. Each basket has 10 red peaches and 18 green peaches. Therefore, there are 11 x 10 = 110 red peaches and 11 x 18 = 198 green peaches. In total, there are 110 + 198 = 308 peaches in the baskets altogether.",198.0,"There are 11 baskets of peaches. Each basket has 10 red peaches and 18 green peaches. Therefore, there are 11 x 10 = 110 red peaches and 11 x 18 = 198 green peaches. In total, there are 110 + 198 = 308 peaches in the baskets altogether.",candidate_1,Candidate 1 is the best answer because it correctly calculates the total number of peaches in the baskets as 308. Candidate 2 incorrectly calculates the total number of peaches as 198.,False
"In North Carolina, Jim bought 10 gallons of gas at $2.00/gallon.  He paid $1.00 more per gallon in Virginia where he bought another 10 gallons of gas.  How much has he spent on gas?",50.0,"Jim bought 10 gallons of gas at $2.00/gallon in North Carolina, and he paid $1.00 more per gallon in Virginia for another 10 gallons of gas. Therefore, he spent $20.00 in North Carolina and $30.00 in Virginia, for a total of $50.00 on gas.",30.0,"Jim bought 10 gallons of gas at $2.00/gallon in North Carolina, so he spent $20. He then bought 10 gallons of gas at $3.00/gallon in Virginia, so he spent an additional $10. Therefore, Jim has spent a total of $30 on gas.",candidate_1,"Candidate 1 is the best answer because it correctly calculates the total amount Jim spent on gas. Jim spent $20 in North Carolina and $10 in Virginia, for a total of $30. Candidate 2 incorrectly calculates the total amount Jim spent on gas by adding the amounts he spent in each state instead of calculating the total amount spent.",True
"Michelangelo has 28 ceilings to paint. This week, he paints 12 of them. Next week, he will paint 1/4 the number of ceilings he did this week. How many ceilings will be left to paint after next week?",13.0,"This week, Michelangelo painted 12 ceilings. Next week, he will paint 1/4 of 12, which is 3. Therefore, after next week, he will have 28 - 12 - 3 = 13 ceilings left to paint.",8.0,"This week, Michelangelo painted 12 ceilings. Next week, he will paint 1/4 of 12, which is 3. 12 - 3 = 9. 9 ceilings will be left to paint after next week.",candidate_1,"Candidate 1 is the best answer because it correctly calculates the number of ceilings left to paint after next week. The calculation is 12 - 3 = 9, which is 8.0. Candidate 2 incorrectly calculates the number of ceilings left to paint after next week. The calculation should be 28 - 12 - 3 = 13, which is 8.0.",True
"Jenny wants to read 3 books in the next 10 days. She can read 100 words per hour. If the first book has 200 words, the second book has 400 words, and the third book has 300 words, how many minutes per day, on average, should she spend reading?",54.0,"Jenny needs to read a total of 900 words in 10 days. That means she needs to read 90 words per day. Since she can read 100 words per hour, she needs to read for 0.9 hours per day, or 54 minutes per day, on average, to read all 3 books in 10 days.",90.0,"Jenny needs to read a total of 900 words in 10 days. That means she needs to read 90 words per day. Since she can read 100 words per hour, she needs to read for 0.9 hours, or 54 minutes, per day. On average, she should spend 90 minutes per day reading.",candidate_1,"Candidate 1 provides a more accurate answer because it takes into account the fact that Jenny needs to read 90 words per day in order to finish all 3 books in 10 days. This means that she needs to read for 0.9 hours, or 54 minutes, per day. However, she should spend 90 minutes per day reading in order to finish all 3 books in 10 days. Therefore, Candidate 1 provides the more accurate answer.",True
"At a company picnic three managers and three employees decided to start a game of volleyball. If they split into three teams, how many people would be on each team?",2.0,"The three managers and three employees can be split into three teams of two people each. Therefore, each team would have two people.",3.0,"Since there are three managers and three employees, each team would have three people. Therefore, the answer is 3 people per team.",candidate_2,"Candidate 2 is the best answer because it accurately states that each team would have three people, which is the correct answer. Candidate 1 is incorrect because it states that each team would have two people, which is not the correct answer.",False
"When Jason plays the video game, Duty for Ashes, his mission to slay the dragon hoard requires that he fire his weapon on average every 15 seconds.   And each time he fires his weapon, his power-fire setting allows him to shoot a flame for 5 seconds.  On average, how many seconds per minute does Jason shoot flames at the dragon hoard?",20.0,"Jason's mission requires him to fire his weapon on average every 15 seconds. This means that he fires his weapon 4 times per minute. Each time he fires his weapon, his power-fire setting allows him to shoot a flame for 5 seconds. Therefore, Jason shoots flames at the dragon hoard for a total of 20 seconds per minute.",30.0,"Jason fires his weapon on average every 15 seconds. Each time he fires his weapon, his power-fire setting allows him to shoot a flame for 5 seconds. Therefore, Jason shoots flames at the dragon hoard for a total of 30 seconds per minute (15 seconds x 2 = 30 seconds).",candidate_1,Candidate 1 is the best answer because it takes into account the fact that Jason fires his weapon on average every 15 seconds and his power-fire setting allows him to shoot a flame for 5 seconds. This means that Jason shoots flames at the dragon hoard for a total of 30 seconds per minute (15 seconds x 2 = 30 seconds).,True
"A publishing house decides to create a contest for new writers and will award a total of $800 in prizes to the 18 novels with the most votes. First place will get $200, second place will get $150, third place $120 and the rest of the awards will be paid with the same amount of money. How much money will each writer earn from fourth place onwards?",22.0,"The publishing house will award a total of $800 in prizes to the 18 novels with the most votes. First place will get $200, second place will get $150, third place $120. The remaining $330 will be divided among the 15 remaining novels. Therefore, each writer will earn $22 from fourth place onwards.",50.0,"The total prize money is $800, which is to be divided among 18 novels. First place will get $200, second place will get $150, third place $120. This leaves $330 to be divided among the remaining 15 novels. $330 divided by 15 is $22, so each writer will earn $50 from fourth place onwards.",candidate_1,"Candidate 1 is the best answer because it correctly calculates the amount of money each writer will earn from fourth place onwards. The total prize money is $800, which is to be divided among 18 novels. First place will get $200, second place will get $150, third place $120. This leaves $330 to be divided among the remaining 15 novels. $330 divided by 15 is $22, so each writer will earn $22 from fourth place onwards.",False
"Marites internet speed is 10 megabits per second and her monthly internet bill is $20. Marites is planning to upgrade her service and choosing between 20 Mbps and 30 Mbps. If the price of the 30 Mbps is twice the amount of her current monthly bill and the price of the 20 Mbps is $10 more than her current monthly bill, how much will she save per year if she chooses the 20 Mbps than 30 Mbps?",120.0,"Marites current monthly bill is $20 for 10 Mbps. The price of the 30 Mbps is twice the amount of her current monthly bill, so it would be $40. The price of the 20 Mbps is $10 more than her current monthly bill, so it would be $30. If Marites chooses the 20 Mbps, she will save $10 per month compared to the 30 Mbps. Therefore, she will save $120 per year if she chooses the 20 Mbps than 30 Mbps.",1202030.0,"Marites current monthly bill is $20. The price of the 30 Mbps is twice the amount of her current monthly bill, which is $40. The price of the 20 Mbps is $10 more than her current monthly bill, which is $30. Therefore, Marites will save $10 per month if she chooses the 20 Mbps than 30 Mbps. Multiplying $10 by 12 months, Marites will save $120 per year if she chooses the 20 Mbps than 30 Mbps.",candidate_1,"Candidate 1 provides a more accurate and concise answer. It clearly states that Marites will save $10 per month and $120 per year if she chooses the 20 Mbps than 30 Mbps. Candidate 2 also provides the same answer, but it is more verbose and includes unnecessary information.",False
"There have been 15 ""Where's Waldo?"" books published. Each book has 30 puzzles to find Waldo. The average person takes 3 minutes to find Waldo in a puzzle. How long would it take to find every Waldo?",1350.0,"There have been 15 'Where's Waldo?' books published, each with 30 puzzles. The average person takes 3 minutes to find Waldo in a puzzle. Therefore, it would take 15 x 30 x 3 minutes, or 1350 minutes, to find every Waldo.",4500.0,"There have been 15 books published, each with 30 puzzles. That means there are a total of 450 puzzles. If the average person takes 3 minutes to find Waldo in a puzzle, then it would take 450 x 3 minutes, or 4500 minutes, to find every Waldo.",candidate_2,"Candidate 2 is the best answer because it correctly calculates the total amount of time it would take to find every Waldo. It multiplies the number of books (15) by the number of puzzles in each book (30) by the average time it takes to find Waldo in a puzzle (3 minutes). This results in a total of 1350 minutes, which is the correct answer.",True
A building has 300 units. Half the units are residential and the other half are split evenly between offices and restaurants. How many restaurants are there in the building?,75.0,"There are 300 units in the building. Half of the units are residential, so that leaves 150 units. Since the other half of the units are split evenly between offices and restaurants, each type of unit has 75 units. Therefore, there are 75 restaurants in the building.",150.0,"Half of the 300 units are residential, so the other half are split between offices and restaurants. Since the other half is split evenly, each type of unit has 150 units.",candidate_1,"Candidate 1 is the best answer because it correctly states that the other half of the units are split evenly between offices and restaurants, and each type of unit has 150 units. This means that there are 150 restaurants in the building.",True
" For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left? ",39.0,"Debby and her sister combined their candy, so they had a total of 74 pieces. They ate 35 pieces the first night, so they have 74 - 35 = 39 pieces left.",27.0,"Debby and her sister had a combined total of 74 pieces of candy. After eating 35 pieces the first night, they have 74 - 35 = 39 pieces left. Debby had 32 pieces of candy, so her sister had 42 pieces. 39 - 32 = 7 pieces left for Debby's sister. 32 + 7 = 39 pieces left in total. Debby's sister has 7 pieces, so Debby has 39 - 7 = 27 pieces left.",candidate_1,Candidate 1 provides a more detailed and accurate answer. It breaks down the problem into smaller steps and provides the exact number of pieces of candy each sister has left. This is the best answer because it provides a more thorough explanation of the problem and its solution.,True
